Symbol,Date,Open,High,Low,Close,Volume
AAIT,09-Sep-2013,28.4,28.4,28.4,28.4,0
AAME,09-Sep-2013,3.83,3.94,3.75,3.94,24400
AAON,09-Sep-2013,24.8,25.33,24.8,25.22,92700
AAPL,09-Sep-2013,505,507.92,503.48,506.17,12167300
AAWW,09-Sep-2013,46.48,47.52,46.48,47.4,156000
AAXJ,09-Sep-2013,57.54,58.43,57.54,58.36,716800
ABAX,09-Sep-2013,40.07,40.93,39.55,40.91,83100
ABCB,09-Sep-2013,19.1,19.44,19.1,19.34,38600
ABCD,09-Sep-2013,1.6,1.6,1.44,1.56,18200
ABCO,09-Sep-2013,58,59,57.78,58.9,86200
ABFS,09-Sep-2013,26.34,26.55,26,26.09,609500
ABIO,09-Sep-2013,1.42,1.45,1.38,1.39,680500
ABMD,09-Sep-2013,23.88,24,23.43,23.62,262500
ABTL,09-Sep-2013,7.11,7.55,7.03,7.35,187600
ACAD,09-Sep-2013,21.55,23.49,21.55,22.79,4315300
ACAS,09-Sep-2013,13.06,13.14,13.05,13.13,1607900
ACAT,09-Sep-2013,54.19,55.62,54.19,55.5,76200
ACCL,09-Sep-2013,9.02,9.22,9.02,9.18,86300
ACET,09-Sep-2013,14.74,15.09,14.73,15.01,129700
ACFC,09-Sep-2013,4.21,4.21,4.21,4.21,0
ACFN,09-Sep-2013,6.1,6.14,5.81,6.09,60700
ACGL,09-Sep-2013,53.27,53.78,53.03,53.62,167300
ACHC,09-Sep-2013,38.2,38.67,38.09,38.53,127200
ACHN,09-Sep-2013,7.21,7.39,7.1,7.38,918000
ACIW,09-Sep-2013,49.14,49.81,49,49.4,1628700
ACLS,09-Sep-2013,2.09,2.21,2.08,2.21,3455900
ACNB,09-Sep-2013,17.02,17.02,17,17,600
ACOR,09-Sep-2013,35.84,37.17,35.53,37.04,258200
ACPW,09-Sep-2013,3.04,3.12,2.96,3.02,355600
ACRX,09-Sep-2013,10.49,10.75,10.29,10.46,231600
ACST,09-Sep-2013,2.85,2.85,2.66,2.68,213700
ACTG,09-Sep-2013,22.42,22.75,22.29,22.71,296000
ACTS,09-Sep-2013,2.7,2.7,2.61,2.67,143900
ACUR,09-Sep-2013,1.5,1.56,1.5,1.55,113000
ACWI,09-Sep-2013,52.56,53,52.56,52.97,1313900
ACWX,09-Sep-2013,43.47,43.94,43.47,43.92,479900
ACXM,09-Sep-2013,25.13,25.33,25,25.32,265700
ADAT,09-Sep-2013,0.91,0.91,0.89,0.89,16600
ADBE,09-Sep-2013,47.11,47.27,46.99,47.25,1932300
ADEP,09-Sep-2013,5.05,6.11,4.9,5.86,1069700
ADES,09-Sep-2013,35.6,36.87,35.3,36.57,119500
ADHD,09-Sep-2013,13.87,14.64,13.85,14.59,37800
ADI,09-Sep-2013,47.24,47.46,47,47.3,1012000
ADNC,09-Sep-2013,11.2,11.52,11.19,11.41,149800
ADP,09-Sep-2013,73.14,73.94,73.14,73.79,1701300
ADRA,09-Sep-2013,28.74,28.74,28.74,28.74,100
ADRD,09-Sep-2013,23.24,23.41,23.24,23.4,8700
ADRE,09-Sep-2013,36.57,37.1,36.55,37.1,21200
ADRU,09-Sep-2013,22.73,22.96,22.73,22.96,4900
ADSK,09-Sep-2013,37.18,37.83,37.14,37.7,1867500
ADTN,09-Sep-2013,27.28,27.46,26.88,26.98,503400
ADUS,09-Sep-2013,22.52,22.79,21.28,21.46,145600
ADVS,09-Sep-2013,27.66,28.64,27.65,28.55,352100
AEGN,09-Sep-2013,21.97,22.35,21.97,22.24,153300
AEGR,09-Sep-2013,92.13,93.55,91.47,93.38,301800
AEHR,09-Sep-2013,1.64,1.65,1.61,1.61,7300
AEIS,09-Sep-2013,19.31,19.43,19,19.13,330100
AEPI,09-Sep-2013,76.39,90.57,76.1,89.54,301800
AERL,09-Sep-2013,4.15,4.18,4.1,4.13,55500
AETI,09-Sep-2013,6.73,6.82,6.26,6.72,113600
AEY,09-Sep-2013,2.44,2.46,2.42,2.46,21500
AEZS,09-Sep-2013,1.66,1.7,1.56,1.59,564800
AFAM,09-Sep-2013,18.57,18.7,18.43,18.64,20100
AFCB,09-Sep-2013,17.73,17.73,17.73,17.73,100
AFCE,09-Sep-2013,41.89,42.7,41.89,42.58,99100
AFFX,09-Sep-2013,6.1,6.36,6,6.3,1749900
AFH,09-Sep-2013,10.02,10.19,9.95,10.02,5600
AFOP,09-Sep-2013,38.24,38.58,37.18,38.49,320900
AFSI,09-Sep-2013,35.1,35.34,34.67,34.72,441700
AGEN,09-Sep-2013,2.9,2.93,2.75,2.85,460500
AGII,09-Sep-2013,40.96,41.32,40.18,41.23,43400
