Symbol,Date,Open,High,Low,Close,Volume
AAIT,25-Sep-2013,30.2,30.2,29.85,29.85,400
AAME,25-Sep-2013,4.03,4.05,4.01,4.01,7700
AAON,25-Sep-2013,26.24,26.64,26.01,26.43,40400
AAPL,25-Sep-2013,489.45,489.64,481.43,481.53,11319800
AAWW,25-Sep-2013,45.68,45.84,45.04,45.29,206000
AAXJ,25-Sep-2013,59.47,59.47,58.92,59.02,1046700
ABAX,25-Sep-2013,41.82,42.21,41.54,41.82,118900
ABCB,25-Sep-2013,18.06,19.04,18.01,18.82,61900
ABCD,25-Sep-2013,1.51,1.6,1.51,1.59,102300
ABCO,25-Sep-2013,59.54,59.54,58.07,58.18,194300
ABFS,25-Sep-2013,25.65,26.03,25.12,25.55,273900
ABIO,25-Sep-2013,1.42,1.46,1.41,1.44,626800
ABMD,25-Sep-2013,20.2,20.9,18.88,18.93,869000
ABTL,25-Sep-2013,7.27,7.41,7.01,7.3,58000
ACAD,25-Sep-2013,25.03,25.18,24.67,24.67,918200
ACAS,25-Sep-2013,13.37,13.44,13.27,13.41,1936900
ACAT,25-Sep-2013,58.77,58.77,57.39,57.47,45800
ACCL,25-Sep-2013,9.96,10,9.79,9.8,138900
ACET,25-Sep-2013,15.86,16.55,15.82,16.29,367500
ACFC,25-Sep-2013,4,4.1,3.8,4.1,2700
ACFN,25-Sep-2013,6.3,6.33,6.17,6.2,23200
ACGL,25-Sep-2013,53.75,54.12,53.43,54.01,516800
ACHC,25-Sep-2013,39.05,39.65,38.91,39.45,182200
ACHN,25-Sep-2013,7.22,7.33,7.07,7.08,1008500
ACIW,25-Sep-2013,53.35,53.95,53,53.57,234400
ACLS,25-Sep-2013,2.1,2.24,2.1,2.21,665600
ACNB,25-Sep-2013,16.75,17.1,16.75,16.78,4900
ACOR,25-Sep-2013,35.26,35.42,34.6,34.76,86400
ACPW,25-Sep-2013,2.88,2.89,2.85,2.85,21600
ACRX,25-Sep-2013,10.82,10.98,10.62,10.65,434100
ACST,25-Sep-2013,2.46,2.47,2.32,2.4,14700
ACTG,25-Sep-2013,23.01,23.04,22.3,22.31,394900
ACTS,25-Sep-2013,2.36,2.36,2.34,2.35,28200
ACUR,25-Sep-2013,1.95,1.98,1.81,1.81,1207800
ACWI,25-Sep-2013,54.4,54.55,54.25,54.34,1057300
ACWX,25-Sep-2013,45.14,45.38,45.13,45.26,574300
ACXM,25-Sep-2013,26.94,28.05,26.75,27.95,631100
ADAT,25-Sep-2013,0.9,0.91,0.87,0.89,30300
