Symbol,Date,Open,High,Low,Close,Volume
AAIT,17-Sep-2013,29.6,29.83,29.32,29.32,11000
AAME,17-Sep-2013,3.93,4.02,3.93,4.01,17500
AAON,17-Sep-2013,24.83,25.33,24.61,25.27,79000
AAPL,17-Sep-2013,447.96,459.71,447.5,455.32,14263500
AAWW,17-Sep-2013,46.81,47.36,46.05,46.26,164800
AAXJ,17-Sep-2013,59.3,59.31,58.98,59.09,325100
ABAX,17-Sep-2013,40.35,40.77,40.1,40.69,136200
ABCB,17-Sep-2013,19.01,19.22,18.98,19.16,39100
ABCD,17-Sep-2013,1.57,1.64,1.49,1.49,2500
ABCO,17-Sep-2013,58.02,58.7,57.75,58.62,249800
ABFS,17-Sep-2013,25.23,25.66,25.05,25.5,439900
ABIO,17-Sep-2013,1.39,1.41,1.37,1.38,176100
ABMD,17-Sep-2013,23.42,23.8,23.36,23.62,164900
ABTL,17-Sep-2013,7.57,7.57,7.41,7.54,34300
ACAD,17-Sep-2013,23.26,23.87,22.84,23.76,1898800
ACAS,17-Sep-2013,13.14,13.23,13.13,13.21,1008300
ACAT,17-Sep-2013,56.12,57.97,55.8,57.34,83000
ACCL,17-Sep-2013,9.4,9.45,9.32,9.44,95200
ACET,17-Sep-2013,14.41,14.76,14.36,14.71,158000
ACFC,17-Sep-2013,3.95,3.95,3.95,3.95,0
ACFN,17-Sep-2013,6.15,6.33,6.09,6.31,41400
ACGL,17-Sep-2013,53.28,53.65,53.15,53.63,277800
ACHC,17-Sep-2013,39.65,40.98,39.47,40.65,225900
ACHN,17-Sep-2013,7.28,7.47,7.27,7.42,1086000
ACIW,17-Sep-2013,51.11,52.11,51.11,52.01,204200
ACLS,17-Sep-2013,2.23,2.27,2.21,2.26,361900
ACNB,17-Sep-2013,17.12,17.15,16.86,16.88,1300
ACOR,17-Sep-2013,35.93,36.18,35.38,35.62,220700
ACPW,17-Sep-2013,2.88,2.9,2.85,2.9,73300
ACRX,17-Sep-2013,10.71,10.83,10.35,10.43,315200
ACST,17-Sep-2013,2.71,2.71,2.53,2.58,10800
ACTG,17-Sep-2013,22.49,22.88,22.45,22.88,337300
ACTS,17-Sep-2013,2.62,2.62,2.59,2.62,42100
ACUR,17-Sep-2013,1.49,1.5,1.47,1.49,66000
ACWI,17-Sep-2013,54.01,54.1,53.95,54.07,1105300
ACWX,17-Sep-2013,44.64,44.84,44.64,44.82,231000
ACXM,17-Sep-2013,26.18,26.63,26.02,26.61,204300
ADAT,17-Sep-2013,0.89,0.9,0.89,0.89,44200
ADBE,17-Sep-2013,48.19,48.49,47.92,48.14,6917100
ADEP,17-Sep-2013,5.75,6.11,5.75,5.93,284400
ADES,17-Sep-2013,41.4,42.86,41.4,42.65,70900
ADHD,17-Sep-2013,16.43,16.43,15.5,15.68,21100
ADI,17-Sep-2013,48.32,48.55,48.25,48.49,1089100
ADNC,17-Sep-2013,11.12,11.72,11.12,11.56,211600
ADP,17-Sep-2013,74.24,74.41,73.9,74.16,2295100
ADRA,17-Sep-2013,29.16,29.23,29.16,29.21,1000
ADRD,17-Sep-2013,23.65,23.65,23.65,23.65,100
ADRE,17-Sep-2013,37.53,37.58,37.42,37.49,8200
ADRU,17-Sep-2013,23.38,23.38,23.38,23.38,3100
ADSK,17-Sep-2013,39.05,39.38,38.89,39.31,2514300
ADTN,17-Sep-2013,26.56,27.12,26.55,27.11,332300
ADUS,17-Sep-2013,26.08,28.43,26.08,28.19,195800
ADVS,17-Sep-2013,30.3,31.11,30.21,30.97,220700
AEGN,17-Sep-2013,22.81,23.44,22.67,23.22,160600
AEGR,17-Sep-2013,87.23,87.34,84.09,86.68,760300
AEHR,17-Sep-2013,1.8,1.8,1.72,1.72,12500
AEIS,17-Sep-2013,18.27,18.3,17.81,17.97,405000
AEPI,17-Sep-2013,76.79,77.4,74.75,75.13,236900
AERL,17-Sep-2013,4.03,4.08,3.89,3.9,204900
AETI,17-Sep-2013,6.77,6.95,6.68,6.92,12300
AEY,17-Sep-2013,2.44,2.48,2.42,2.44,10100
AEZS,17-Sep-2013,1.57,1.57,1.55,1.55,96300
AFAM,17-Sep-2013,19,19.19,18.84,19.08,18700
AFCB,17-Sep-2013,17.9,17.98,17.65,17.65,1200
AFCE,17-Sep-2013,43.95,44.27,43.57,43.74,96800
AFFX,17-Sep-2013,6.11,6.18,6.04,6.1,888900
AFH,17-Sep-2013,9.58,9.85,9.58,9.83,7900
