Symbol,Date,Open,High,Low,Close,Volume
AAIT,16-Sep-2013,29.45,29.65,29.45,29.5,2200
AAME,16-Sep-2013,3.85,3.97,3.75,3.94,17000
AAON,16-Sep-2013,25.45,25.45,24.76,24.83,46100
AAPL,16-Sep-2013,461,461.61,447.22,450.12,19591000
AAWW,16-Sep-2013,47.04,47.67,46.64,46.9,132700
AAXJ,16-Sep-2013,59.38,59.51,59.17,59.25,1306600
ABAX,16-Sep-2013,40.75,40.87,40.06,40.35,192600
ABCB,16-Sep-2013,19.11,19.19,19.05,19.1,37000
ABCD,16-Sep-2013,1.72,1.74,1.51,1.53,4800
ABCO,16-Sep-2013,59.45,59.45,57.98,58.01,145100
ABFS,16-Sep-2013,26.73,26.75,25.01,25.37,706600
ABIO,16-Sep-2013,1.4,1.4,1.36,1.37,134300
ABMD,16-Sep-2013,23.25,23.59,22.96,23.42,228200
ABTL,16-Sep-2013,7.37,7.6,7.29,7.46,46400
ACAD,16-Sep-2013,23.5,23.92,23,23.29,2041800
ACAS,16-Sep-2013,13.35,13.38,13.1,13.14,1485900
ACAT,16-Sep-2013,57,57,55.89,55.92,61400
ACCL,16-Sep-2013,9.4,9.43,9.3,9.42,206500
ACET,16-Sep-2013,14.75,14.88,14.28,14.38,272400
ACFC,16-Sep-2013,3.5,4,3.49,3.95,5500
ACFN,16-Sep-2013,6.5,6.5,6.08,6.15,52000
ACGL,16-Sep-2013,53.42,53.81,53.07,53.29,364200
ACHC,16-Sep-2013,39.82,40.1,39.42,39.54,170900
ACHN,16-Sep-2013,7.34,7.6,7.24,7.27,1509300
ACIW,16-Sep-2013,51.88,52,51.29,51.32,217200
ACLS,16-Sep-2013,2.34,2.38,2.21,2.23,707400
ACNB,16-Sep-2013,17.12,17.15,17.1,17.15,1400
ACOR,16-Sep-2013,36.27,36.8,35.62,35.98,159000
ACPW,16-Sep-2013,2.91,3,2.88,2.88,72400
ACRX,16-Sep-2013,10.77,10.91,10.56,10.74,171100
ACST,16-Sep-2013,2.67,2.73,2.58,2.7,3000
ACTG,16-Sep-2013,23.02,23.23,22.48,22.51,306900
ACTS,16-Sep-2013,2.64,2.64,2.62,2.64,13800
ACUR,16-Sep-2013,1.5,1.53,1.46,1.49,91200
ACWI,16-Sep-2013,54.19,54.3,53.9,53.94,1481800
ACWX,16-Sep-2013,44.87,45.02,44.75,44.77,302400
ACXM,16-Sep-2013,26.39,26.44,26.17,26.21,258400
ADAT,16-Sep-2013,0.87,0.9,0.87,0.9,6400
ADBE,16-Sep-2013,48.17,48.71,47.97,48.14,4499400
ADEP,16-Sep-2013,5.9,5.9,5.7,5.77,81600
ADES,16-Sep-2013,42.15,42.15,41.14,41.4,54300
ADHD,16-Sep-2013,16.57,16.9,16.01,16.01,15500
ADI,16-Sep-2013,48.57,48.62,48.05,48.3,1010300
ADNC,16-Sep-2013,10.88,10.92,10.64,10.8,91000
ADP,16-Sep-2013,74.85,74.93,74.03,74.1,1977500
ADRA,16-Sep-2013,29.25,29.25,29.16,29.16,200
ADRD,16-Sep-2013,23.93,23.93,23.76,23.76,11000
ADRE,16-Sep-2013,37.69,37.73,37.33,37.33,15700
ADRU,16-Sep-2013,23.61,23.61,23.37,23.38,3000
ADSK,16-Sep-2013,38.55,39.11,38.55,39.07,4700300
ADTN,16-Sep-2013,27.34,27.34,26.38,26.59,523700
ADUS,16-Sep-2013,25.74,27.25,25.15,25.86,232900
ADVS,16-Sep-2013,30.59,30.93,30.11,30.26,302900
AEGN,16-Sep-2013,23.09,23.25,22.7,22.77,253700
AEGR,16-Sep-2013,92.15,92.69,87.48,87.55,389000
AEHR,16-Sep-2013,1.74,1.87,1.74,1.8,14400
AEIS,16-Sep-2013,18.85,18.99,18.16,18.28,386500
AEPI,16-Sep-2013,79.85,81.79,78.2,78.3,217200
AERL,16-Sep-2013,4.05,4.09,4.01,4.06,32500
AETI,16-Sep-2013,6.8,6.98,6.63,6.73,16500
AEY,16-Sep-2013,2.45,2.45,2.41,2.43,6600
AEZS,16-Sep-2013,1.55,1.58,1.52,1.54,123600
AFAM,16-Sep-2013,19.06,19.22,18.66,19.03,22800
AFCB,16-Sep-2013,17.75,18.04,17.51,17.51,5400
AFCE,16-Sep-2013,43.91,44.17,43.55,43.81,229700
AFFX,16-Sep-2013,6.15,6.19,6.03,6.13,1897100
AFH,16-Sep-2013,9.82,9.86,9.5,9.85,19600
AFOP,16-Sep-2013,39.18,39.35,37.53,38.19,346400
AFSI,16-Sep-2013,36.51,37.06,36.47,37.05,750500
AGEN,16-Sep-2013,2.82,2.84,2.74,2.74,115000
AGII,16-Sep-2013,42.34,42.86,42.09,42.34,102300
AGIIL,16-Sep-2013,22.29,22.6,22.11,22.11,12400
AGIO,16-Sep-2013,27,28.12,26.12,26.9,95300
AGNC,16-Sep-2013,24.14,24.3,23.22,23.29,8623600
AGNCP,16-Sep-2013,25.6,25.65,25.5,25.62,32000
AGYS,16-Sep-2013,12.1,12.19,11.83,11.87,25800
AHGP,16-Sep-2013,60.93,61.6,60.5,60.67,25100
AHPI,16-Sep-2013,2.29,2.36,2.28,2.28,500
AIMC,16-Sep-2013,27.15,27.25,26.75,26.76,62300
AINV,16-Sep-2013,8.43,8.46,8.36,8.37,1603500
AIQ,16-Sep-2013,24.21,24.75,24.17,24.53,56800
AIRM,16-Sep-2013,42.14,42.52,41.74,41.76,210600
AIRT,16-Sep-2013,10.71,10.91,10.71,10.73,8700
AIXG,16-Sep-2013,17.36,17.63,17.36,17.45,54600
AKAM,16-Sep-2013,51.67,51.93,51.29,51.37,1759000
AKRX,16-Sep-2013,18.68,18.86,18.4,18.43,679100
ALCO,16-Sep-2013,42.8,42.8,42.06,42.59,3300
ALCS,16-Sep-2013,14.11,14.11,14.05,14.1,8000
ALGN,16-Sep-2013,47.35,47.58,46.22,46.25,466500
ALGT,16-Sep-2013,99.23,99.44,97.67,98.44,90800
ALIM,16-Sep-2013,3.73,3.85,3.73,3.77,30600
ALKS,16-Sep-2013,34.92,35.72,34.28,35.35,762400
ALLB,16-Sep-2013,14.88,14.99,14.4,14.4,4000
